frame,yaw,pitch,roll
72,0.726898,0.060585,0.0
73,0.759606,0.064444,0.0
74,0.782551,0.066985,0.0
75,0.797171,0.067096,0.0
76,0.805797,0.061226,0.0
77,0.810614,0.054027,0.0
78,0.8149,0.043295,0.0
79,0.81711,0.031874,0.0
80,0.815372,0.021517,0.0
81,0.807685,0.012199,0.0
82,0.797181,0.000723,0.0
83,0.784172,-0.009856,0.0
84,0.770814,-0.018687,0.0
85,0.758305,-0.027313,0.0
86,0.744074,-0.033193,0.0
87,0.733611,-0.040025,0.0
88,0.719225,-0.045071,0.0
89,0.698703,-0.048991,0.0
90,0.671659,-0.05025,0.0
91,0.637768,-0.055577,0.0
92,0.608483,-0.066284,0.0
93,0.583434,-0.073271,0.0
94,0.56444,-0.075458,0.0
95,0.548229,-0.075914,0.0
96,0.531305,-0.077553,0.0
97,0.515878,-0.079636,0.0
98,0.498442,-0.07732,0.0
99,0.477755,-0.073408,0.0
100,0.453567,-0.068906,0.0
101,0.422913,-0.06702,0.0
102,0.386013,-0.070526,0.0
103,0.347233,-0.082126,0.0
104,0.30843,-0.099715,0.0
105,0.270116,-0.12337,0.0
106,0.231976,-0.147472,0.0
107,0.197615,-0.169062,0.0
108,0.158788,-0.179356,0.0
109,0.122366,-0.175768,0.0
110,0.082213,-0.171417,0.0
111,0.047934,-0.1724,0.0
112,0.011269,-0.176534,0.0
113,-0.021315,-0.177662,0.0
114,-0.047634,-0.179894,0.0
115,-0.073259,-0.178365,0.0
116,-0.093261,-0.178369,0.0
117,-0.112437,-0.178852,0.0
118,-0.1339,-0.178353,0.0
119,-0.155324,-0.172997,0.0
120,-0.170874,-0.167575,0.0
121,-0.183677,-0.16071,0.0
122,-0.193405,-0.158305,0.0
123,-0.204841,-0.160148,0.0
124,-0.216864,-0.160478,0.0
125,-0.225796,-0.154098,0.0
126,-0.240151,-0.140398,0.0
127,-0.245497,-0.128887,0.0
128,-0.248725,-0.111465,0.0
129,-0.250151,-0.087893,0.0
130,-0.253656,-0.072996,0.0
131,-0.262387,-0.068199,0.0
132,-0.270884,-0.060925,0.0
133,-0.287598,-0.052417,0.0
134,-0.306683,-0.045039,0.0
135,-0.327699,-0.040009,0.0
136,-0.35494,-0.034797,0.0
137,-0.381122,-0.0336,0.0
138,-0.408032,-0.035143,0.0
139,-0.435725,-0.034591,0.0
140,-0.454241,-0.033695,0.0
141,-0.464368,-0.034219,0.0
142,-0.468363,-0.034172,0.0
143,-0.467055,-0.03572,0.0
144,-0.461533,-0.036938,0.0
145,-0.451669,-0.037691,0.0
146,-0.434687,-0.037185,0.0
147,-0.42536,-0.034604,0.0
148,-0.425201,-0.028573,0.0
149,-0.452714,-0.012044,0.0
150,-0.460258,0.003573,0.0
151,-0.474851,0.011569,0.0
152,-0.49049,0.011479,0.0
153,-0.505457,0.012394,0.0
154,-0.511845,0.011918,0.0
155,-0.509672,0.0127,0.0
156,-0.505144,0.011594,0.0
157,-0.494255,0.010453,0.0
158,-0.481843,0.008299,0.0
159,-0.471098,0.004496,0.0
160,-0.456757,0.000929,0.0
161,-0.44387,-0.000213,0.0
162,-0.429048,-0.005507,0.0
163,-0.400748,-0.008554,0.0
164,-0.350592,-0.016297,0.0
165,-0.271514,-0.039598,0.0
166,-0.150339,-0.069491,0.0
167,-0.012797,-0.088733,0.0
168,0.135008,-0.096513,0.0
169,0.273751,-0.106809,0.0
170,0.400648,-0.104893,0.0
171,0.508454,-0.09586,0.0
172,0.59071,-0.096476,0.0
173,0.655503,-0.08298,0.0
174,0.703277,-0.069862,0.0
175,0.74851,-0.054591,0.0
176,0.787199,-0.042443,0.0
177,0.823646,-0.038327,0.0
178,0.856512,-0.034511,0.0
179,0.88186,-0.027533,0.0
180,0.898103,-0.030322,0.0
181,0.911986,-0.036646,0.0
