frame,yaw,pitch,roll
421,-1.536593,-0.069909,0.0
422,-1.537061,-0.074186,0.0
423,-1.528158,-0.082025,0.0
424,-1.503675,-0.097318,0.0
425,-1.456522,-0.122784,0.0
426,-1.387934,-0.16789,0.0
427,-1.301069,-0.232632,0.0
428,-1.206621,-0.303969,0.0
429,-1.097775,-0.346464,0.0
430,-0.978735,-0.365246,0.0
431,-0.87182,-0.378195,0.0
432,-0.787933,-0.385159,0.0
433,-0.721249,-0.395608,0.0
434,-0.66215,-0.406767,0.0
435,-0.611127,-0.418827,0.0
436,-0.568687,-0.431745,0.0
437,-0.536377,-0.445099,0.0
438,-0.506978,-0.456333,0.0
439,-0.475535,-0.462546,0.0
440,-0.44437,-0.464394,0.0
441,-0.419118,-0.467739,0.0
442,-0.394361,-0.471476,0.0
443,-0.363514,-0.47503,0.0
444,-0.318981,-0.481534,0.0
445,-0.268704,-0.487518,0.0
446,-0.230006,-0.49356,0.0
447,-0.201516,-0.498844,0.0
448,-0.172461,-0.502743,0.0
449,-0.142416,-0.50392,0.0
450,-0.116624,-0.504926,0.0
451,-0.097838,-0.507684,0.0
452,-0.087692,-0.510641,0.0
453,-0.08284,-0.514538,0.0
454,-0.080504,-0.518021,0.0
455,-0.079697,-0.520482,0.0
456,-0.079143,-0.521784,0.0
457,-0.078711,-0.523217,0.0
458,-0.077933,-0.52571,0.0
459,-0.077506,-0.527288,0.0
460,-0.077406,-0.528545,0.0
461,-0.077318,-0.528875,0.0
462,-0.077363,-0.528222,0.0
463,-0.077553,-0.526701,0.0
464,-0.077405,-0.523293,0.0
465,-0.077557,-0.520661,0.0
466,-0.07894,-0.515021,0.0
467,-0.081498,-0.508265,0.0
468,-0.083023,-0.503792,0.0
469,-0.084532,-0.500106,0.0
470,-0.085966,-0.495127,0.0
471,-0.087918,-0.491293,0.0
472,-0.090841,-0.486905,0.0
473,-0.095987,-0.480286,0.0
474,-0.101711,-0.473819,0.0
475,-0.108049,-0.465323,0.0
476,-0.114995,-0.456392,0.0
477,-0.123335,-0.446887,0.0
478,-0.134028,-0.435069,0.0
479,-0.146848,-0.423185,0.0
480,-0.162834,-0.412314,0.0
481,-0.18311,-0.399955,0.0
482,-0.206021,-0.388006,0.0
483,-0.229661,-0.378,0.0
484,-0.255455,-0.368574,0.0
485,-0.286648,-0.358307,0.0
486,-0.317799,-0.349227,0.0
487,-0.349969,-0.339878,0.0
488,-0.382041,-0.328123,0.0
489,-0.413574,-0.316154,0.0
490,-0.446666,-0.302709,0.0
491,-0.483984,-0.288965,0.0
492,-0.523762,-0.275863,0.0
493,-0.563067,-0.263012,0.0
494,-0.600805,-0.251765,0.0
495,-0.639773,-0.241091,0.0
496,-0.674664,-0.230908,0.0
497,-0.706829,-0.222304,0.0
498,-0.737538,-0.21459,0.0
499,-0.765596,-0.206701,0.0
500,-0.793537,-0.197564,0.0
501,-0.819496,-0.187054,0.0
502,-0.843275,-0.178303,0.0
503,-0.866119,-0.174852,0.0
504,-0.888358,-0.173192,0.0
505,-0.90738,-0.169666,0.0
506,-0.924119,-0.163849,0.0
507,-0.940814,-0.157263,0.0
508,-0.957305,-0.149465,0.0
509,-0.974155,-0.142503,0.0
510,-0.988596,-0.136819,0.0
511,-0.997523,-0.130998,0.0
512,-1.002369,-0.125349,0.0
513,-1.003432,-0.121053,0.0
514,-1.001774,-0.119029,0.0
515,-0.997862,-0.116344,0.0
516,-0.990565,-0.111942,0.0
517,-0.980033,-0.107944,0.0
518,-0.96575,-0.104597,0.0
519,-0.944037,-0.103558,0.0
520,-0.920767,-0.10367,0.0
521,-0.895256,-0.10309,0.0
522,-0.869264,-0.102522,0.0
523,-0.841704,-0.100159,0.0
524,-0.814195,-0.097115,0.0
525,-0.790006,-0.095596,0.0
526,-0.770531,-0.094003,0.0
527,-0.75547,-0.09313,0.0
528,-0.745162,-0.094716,0.0
529,-0.737023,-0.096933,0.0
530,-0.727513,-0.098697,0.0
531,-0.717017,-0.097745,0.0
532,-0.706784,-0.094449,0.0
533,-0.697615,-0.091415,0.0
534,-0.688931,-0.086497,0.0
535,-0.679529,-0.079482,0.0
536,-0.669785,-0.070739,0.0
537,-0.661552,-0.063088,0.0
538,-0.65413,-0.058182,0.0
539,-0.647051,-0.053065,0.0
540,-0.63892,-0.047052,0.0
541,-0.630593,-0.041492,0.0
542,-0.622626,-0.037359,0.0
543,-0.615039,-0.033476,0.0
544,-0.607207,-0.028296,0.0
545,-0.601887,-0.022368,0.0
